"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","fare_revenues_per_unlinked","fare_revenues_per_unlinked_1","fare_revenues_per_total","fare_revenues_per_total_1","cost_per_hour","cost_per_hour_questionable","passengers_per_hour","passengers_per_hour_1","cost_per_passenger","cost_per_passenger_1","cost_per_passenger_mile","cost_per_passenger_mile_1","fare_revenues_earned","fare_revenues_earned_1","total_operating_expenses","total_operating_expenses_1","unlinked_passenger_trips","unlinked_passenger_trips_1","vehicle_revenue_hours","vehicle_revenue_hours_1","passenger_miles","passenger_miles_questionable","vehicle_revenue_miles","vehicle_revenue_miles_1"
"Cameron Parish Police Jury","Cameron","LA","60235","Area Agency on Aging","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0.0134",,"0.0003",,"46.568",,"0.9296",,"50.0935",,"0",,"83",,"310329",,"6195",,"6664",,"0",,"95934",
"City of North Platte, dba: North Platte Public Transit","North Platte","NE","70153","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","3.3003",,"0.2163",,"61.9904",,"4.0628",,"15.2582",,"0",,"197625",,"913677",,"59881",,"14739",,"0",,"277305",
"Woodford County, dba: We Care, Inc.","Eureka","IL","50329","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","7.6816",,"0.1446",,"58.5202",,"1.1019",,"53.1081",,"0",,"73674",,"509360",,"9591",,"8704",,"0",,"258103",
"Fergus County Council on Aging, dba: Central Montana Shuttle","Lewistown","MT","80236","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.4577",,"0.0918",,"52.3404",,"3.2945",,"15.8872",,"0",,"31619",,"344609",,"21691",,"6584",,"0",,"81138",
"Dolores County, dba: Senior and Public Transportation","Dove Creek","CO","80168","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.5141",,"0.0183",,"80.1794",,"0.9717",,"82.5182",,"0",,"4412",,"240458",,"2914",,"2999",,"0",,"68301",
"City of Chippewa Falls, dba: Chippewa Falls Shared Ride Taxi","Chippewa Falls","WI","50133","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","26038","Eau Claire, WI","105475","8","DR","Demand Response","PT","8","3.2669",,"0.3056",,"36.4019",,"3.4051",,"10.6903",,"0",,"151734",,"496522",,"46446",,"13640",,"0",,"155201",
"City of Portage, dba: Portage Cab","Portage","WI","50470","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","PT","8","4.6979",,"0.3492",,"30.0713",,"2.2349",,"13.455",,"0",,"340256",,"974520",,"72428",,"32407",,"0",,"318708",
"Huron County Transit, dba: North Central Area Transit","Norwalk","OH","50362","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.989",,"0.068",,"37.3781",,"1.2786",,"29.2336",,"0",,"30836",,"453209",,"15503",,"12125",,"0",,"93681",
"Town of Blackstone, dba: Blackstone Area Bus Service","Blackstone","VA","30184","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","8","1.039",,"0.0402",,"47.2901",,"1.8292",,"25.853",,"0",,"29530",,"734794",,"28422",,"15538",,"0",,"418259",
"Madison County Commission, dba: Madison County Commission TRAM","Huntsville","AL","40963","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","5.4001",,"0.1208",,"101.5314",,"2.2707",,"44.7134",,"0",,"43800",,"362670",,"8111",,"3572",,"0",,"140295",
"Whitley County Council on Aging , dba: Whitley County Transit","Columbia City","IN","50468","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","4.3954",,"0.1617",,"61.7988",,"2.2734",,"27.1836",,"0",,"131691",,"814447",,"29961",,"13179",,"0",,"218017",
"City of Spartanburg South Carolina , dba: Spartanburg Area Regional Transportation System","Spartanburg","SC","40101","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2023","83548","Spartanburg, SC","196943","8","MB","Bus","DO","8","0.4685",,"0.0655",,"90.764",,"12.6844",,"7.1556",,"0",,"124626",,"1903412",,"266004",,"20971",,"0",,"275602",
"Key Opportunities","Hillsdale","MI","55440","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","5.1591",,"0.0366",,"66.7143",,"0.4737",,"140.8481",,"0",,"5706",,"155778",,"1106",,"2335",,"0",,"34775",
"Greenville Transit System","Greenville","OH","50415","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.6404",,"0.0941",,"58.4031",,"3.3489",,"17.4393",,"0",,"72296",,"768585",,"44072",,"13160",,"0",,"152165",
"Broadway Bus Corporation","Bayonne","NJ","20220","Private-For-Profit Corporation","Reduced Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","8","MB","Bus","DO","8","0.2055",,"1",,"7.2953",,"35.5006",,"0.2055",,"0",,"95444",,"95444",,"464454",,"13083",,"0",,"91563",
"City of Fairfax, dba: CUE Bus","Fairfax","VA","30058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","8","MB","Bus","DO","8","0.8874",,"0.1593",,"136.6567",,"24.5268",,"5.5717",,"1.8409",,"750000",,"4709189",,"845194",,"34460",,"2558100",,"434730",
"Troup County, dba: Troup Transit","Lagrange","GA","41019","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0.4231",,"0.0179",,"47.1995",,"1.9974",,"23.631",,"0",,"8935",,"499040",,"21118",,"10573",,"0",,"138408",
"Jefferson County Service Organization, dba: Jefferson County Public Transportation",,"KS","70103","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","2.5542",,"0.0596",,"47.7833",,"1.1142",,"42.8846",,"0",,"10140",,"170252",,"3970",,"3563",,"0",,"80496",
"Catoosa County, dba: Trans-Aid","Ringgold","GA","41086","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","15832","Chattanooga, TN--GA","398569","8","DR","Demand Response","DO","8","0",,"0",,"61.8983",,"1.67",,"37.064",,"0",,"0",,"715483",,"19304",,"11559",,"0",,"150150",
"Leprechaun Lines, Inc.","New Windsor","NY","20179","Private Provider Reporting on Behalf of a Public Entity","Reduced Reporter","2023","71803","Poughkeepsie--Newburgh, NY","314766","8","CB","Commuter Bus","DO","8","5.2102",,"0.0523",,"118.4253",,"1.189",,"99.6002",,"0",,"92298",,"1764418",,"17715",,"14899",,"0",,"364149",
"Coffey County","Burlington","KS","70222","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","3.4007",,"0.1213",,"41.7195",,"1.4876",,"28.0446",,"0",,"62280",,"513609",,"18314",,"12311",,"0",,"300645",
"City of Anderson","Anderson","SC","40081","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","02420","Anderson--Clemson, SC","118369","8","MB","Bus","DO","8","0.2472",,"0.0464",,"64.0999",,"12.036",,"5.3257",,"0",,"49576",,"1067904",,"200519",,"16660",,"0",,"323851",
"Polk County Transportation Authority","Columbus","NC","40934","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0.7431",,"0.0278",,"37.0512",,"1.3877",,"26.7004",,"0",,"15816",,"568292",,"21284",,"15338",,"0",,"239316",
"Burke County","Waynesboro","GA","40951","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.2577",,"0.0504",,"53.2306",,"2.1333",,"24.9522",,"0",,"21555",,"427655",,"17139",,"8034",,"0",,"137999",
"Bartow County , dba: Bartow County Transit","Cartersville","GA","41027","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","03817","Atlanta, GA","5100112","8","DR","Demand Response","DO","8","0.053",,"0.0024",,"38.3429",,"1.7185",,"22.3115",,"0",,"1627",,"685341",,"30717",,"17874",,"0",,"265521",
"Chilton County Commission, dba: Chilton County Transit","Clanton","AL","41107","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.1966",,"0.0387",,"42.5188",,"1.3766",,"30.8857",,"0",,"13729",,"354352",,"11473",,"8334",,"0",,"135715",
"Choanoke Public Transportation Authority","Rich Square","NC","41131","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0.8635",,"0.0253",,"63.2045",,"1.853",,"34.1093",,"0",,"28737",,"1135089",,"33278",,"17959",,"0",,"390402",
"Graham County","Robbinsville","NC","40913","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0",,"0",,"50.1016",,"1.3071",,"38.3316",,"0",,"0",,"690199",,"18006",,"13776",,"0",,"267048",
"Moore County","Carthage","NC","41064","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","69517","Pinehurst--Southern Pines, NC","50319","8","DR","Demand Response","DO","8","5.2958",,"0.1635",,"59.1538",,"1.8268",,"32.3807",,"0",,"177092",,"1082811",,"33440",,"18305",,"0",,"378224",
"Paul Philippe Resource Center  , dba: Clinton County Transit","Frankfort","IN","50499","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0.7199",,"0.0367",,"49.1144",,"2.5064",,"19.5957",,"0",,"24000",,"653320",,"33340",,"13302",,"0",,"119488",
"Pender Adult Services, Inc.","Burgaw","NC","40938","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.2395",,"0.0366",,"52.281",,"1.5451",,"33.8361",,"0",,"28479",,"777418",,"22976",,"14870",,"0",,"397939",
"City of Clovis, dba: Clovis Area Transit System","Clovis","NM","60225","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0.5538",,"0.0266",,"69.1537",,"3.3236",,"20.8068",,"0",,"21579",,"810758",,"38966",,"11724",,"0",,"142887",
"Peter Pan Bus Lines, dba: Peter Pan","Springfield","MA","11160","Private-For-Profit Corporation","Reduced Reporter","2023","09271","Boston, MA--NH","4382009","8","CB","Commuter Bus","DO","8","29.1276",,"1",,"474.3688",,"16.2859",,"29.1276",,"0",,"4745111",,"4745111",,"162908",,"10003",,"0",,"377609",
"City of Ville Platte Evangeline Parish","Ville Platte","LA","60169","Area Agency on Aging","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","8.3926",,"0.2251",,"50.4486",,"1.353",,"37.2861",,"0",,"90388",,"401571",,"10770",,"7960",,"0",,"150978",
"Forest County Potawatomi Community, dba: FCPC Transportation Services","Crandon","WI","50014","Tribe","Reduced Reporter","2023","00055","Wisconsin Non-UZA","2782206","8","DR","Demand Response","DO","8","0",,"0",,"78.0303",,"3.8788",,"20.1172",,"0",,"0",,"298700",,"14848",,"3828",,"0",,"78691",
"Five County Child Development Program, Inc.","Prentiss","MS","41051","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.2456",,"0.0345",,"42.7709",,"1.1849",,"36.0966",,"0",,"21815",,"632196",,"17514",,"14781",,"0",,"211166",
"Escambia County Commission, dba: Escambia County Alabama Transit System","Brewton","AL","40926","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.5523",,"0.0983",,"37.5524",,"2.3781",,"15.791",,"0",,"22983",,"233801",,"14806",,"6226",,"0",,"102342",
"Fulton County Council on Aging , dba: Fulton County TRANSPO","Rochester","IN","50484","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","4.7987",,"0.2582",,"37.7278",,"2.03",,"18.5849",,"0",,"121350",,"469975",,"25288",,"12457",,"0",,"154082",
"Mariposa County","Mariposa","CA","91082","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","14.005",,"0.1867",,"148.3",,"1.9768",,"75.022",,"0",,"126241",,"676248",,"9014",,"4560",,"0",,"134237",
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","8","MG","Monorail/Automated Guideway","PT","8","2.9109",,"0.9821",,"297.4724",,"100.3656",,"2.9639",,"3.2932",,"6214624",,"6327832",,"2134977",,"21272",,"1921479",,"227127",
"Oneida Tribe of Indians of Wisconsin, dba: Oneida Public Transit","Green Bay","WI","55276","Tribe","Reduced Reporter","2023","00055","Wisconsin Non-UZA","2782206","8","DR","Demand Response","DO","8","0.7877",,"0.0189",,"116.3639",,"2.7954",,"41.6272",,"0",,"26226",,"1385894",,"33293",,"11910",,"0",,"226089",
"Huerfano/Las Animas Area Council of Governments, dba: South Central Council of Governments","Trinidad","CO","80227","MPO, COG or Other Planning Agency","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","0",,"0",,"82.8515",,"2.3821",,"34.7803",,"0",,"0",,"522296",,"15017",,"6304",,"0",,"105535",
"Golden Spread Rural Frontier Coalition, dba: Rural Frontier Express","Clayton","NM","60244","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","26.7921",,"0.4219",,"62.555",,"0.985",,"63.5099",,"0",,"226393",,"536659",,"8450",,"8579",,"0",,"174322",
"Sunflower Diversified Services, dba: Sunflower Diversified","Great Bend","KS","70137","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.3146",,"0.099",,"29.7886",,"2.2429",,"13.2814",,"0",,"57848",,"584423",,"44003",,"19619",,"0",,"280909",
"Cheyenne & Arapaho Tribes , dba: Cheyenne and Arapaho Tribal Transit","Concho","OK","66194","Tribe","Reduced Reporter","2023","00040","Oklahoma Non-UZA","1994607","8","DR","Demand Response","DO","8","0",,"0",,"1109.3926",,"1.3715",,"808.8753",,"0",,"0",,"1316849",,"1628",,"1187",,"0",,"63472",
"Jackson County, dba: Jackson County Transit","Scottsboro","AL","41180","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","8","1.742",,"0.053",,"103.8357",,"3.1576",,"32.8844",,"0",,"25479",,"480967",,"14626",,"4632",,"0",,"84036",
"Cherokee County","Murphy","NC","41069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","7","0.8788",,"0.0356",,"53.0557",,"2.1465",,"24.717",,"0",,"19620",,"551832",,"22326",,"10401",,"0",,"212121",
"Brown County , dba: Brown County Heartland Express","New Ulm","MN","50384","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","7","2.3173",,"0.1064",,"72.0934",,"3.3108",,"21.7754",,"0",,"92155",,"865986",,"39769",,"12012",,"0",,"171313",
"Clinton County, dba: Clinton County Public Transit","Plattsburgh","NY","20939","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","7","1.4478",,"0.0574",,"97.0749",,"3.8486",,"25.2235",,"0",,"87771",,"1529124",,"60623",,"15752",,"0",,"348585",
"Lake County Council on Aging, dba: Lake Community Transit","Ronan","MT","80184","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","6","2.5487",,"0.0855",,"20.1262",,"0.6754",,"29.7997",,"0",,"3818",,"44640",,"1498",,"2218",,"0",,"37861",
"City of Calabasas","Calabasas","CA","90257","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","MB","Bus","PT","6","0.6221",,"0.0202",,"68.0744",,"2.2056",,"30.8643",,"0",,"13027",,"646298",,"20940",,"9494",,"0",,"86082",
"City of Lebanon, dba: Lebanon Interneighborhood Express","Lebanon","OR","00377","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","6","0.0182",,"0.001",,"82.2957",,"4.345",,"18.9401",,"0",,"606",,"629891",,"33257",,"7654",,"0",,"82451",
"City of Coolidge, dba: Cotton Express/Central Arizona Regional Transit","Coolidge","AZ","91096","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","6","1.1585",,"0.0243",,"76.8563",,"1.6132",,"47.6408",,"0",,"21504",,"884309",,"18562",,"11506",,"0",,"185578",
"City of Baldwin Park, dba: Baldwin Park Transit","Baldwin Park","CA","90251","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","MB","Bus","PT","6","0.5899",,"0.0214",,"87.723",,"3.1821",,"27.568",,"0",,"35130",,"1641649",,"59549",,"18714",,"0",,"183638",
"Jackson County","Sylva","NC","41167","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","6","1.6563",,"0.0431",,"57.2619",,"1.4895",,"38.4425",,"0",,"27022",,"627190",,"16315",,"10953",,"0",,"162983",
"City of Suffolk, dba: Suffolk Transit","Suffolk","VA","30198","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","90892","Virginia Beach--Norfolk, VA","1451578","8","MB","Bus","PT","6","0.797",,"0.0329",,"87.0631",,"3.595",,"24.2177",,"0",,"57821",,"1757021",,"72551",,"20181",,"0",,"395224",
"Oswego County, dba: Oswego Public Transportation","Oswego","NY","20942","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","PT","6","0.8207",,"0.0206",,"84.3415",,"2.1197",,"39.7889",,"0",,"27332",,"1325089",,"33303",,"15711",,"0",,"325067",
"City of Houghton","Houghton","MI","50386","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","6","2.1763",,"0.0985",,"49.2621",,"2.2298",,"22.0929",,"0",,"33939",,"344539",,"15595",,"6994",,"0",,"45061",
"City of Longview, dba: City of Longview Transit","Longview","TX","60081","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51256","Longview, TX","107099","8","MB","Bus","DO","6","0.8219",,"0.0723",,"82.1684",,"7.2287",,"11.3669",,"0",,"128438",,"1776399",,"156278",,"21619",,"0",,"361636",
"West's Transportation, Inc. , dba: West's Bus Service","Steuben","ME","10177","Private-For-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","6","0",,"0",,"39.0582",,"1.2707",,"30.7366",,"0",,"0",,"67805",,"2206",,"1736",,"0",,"37690",
"Tri-County CAP, Inc./North Country Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10172","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","6","0.5096",,"0.0162",,"31.3558",,"0.9943",,"31.5343",,"0",,"7428",,"459676",,"14577",,"14660",,"0",,"164828",
"City of Douglas","Douglas","AZ","91052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","6","0.6141",,"0.0676",,"35.5178",,"3.9124",,"9.0784",,"0",,"27963",,"413356",,"45532",,"11638",,"0",,"210142",
"City of Winchester, dba: WinTran","Winchester","VA","30099","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","96103","Winchester, VA","83377","8","MB","Bus","DO","5","0",,"0",,"115.6654",,"12.1272",,"9.5377",,"0",,"0",,"1603122",,"168083",,"13860",,"0",,"172133",
"City of Dodge City, dba: Dodge City Public Transportation","Dodge City","KS","70139","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","5","0.746",,"0.032",,"56.8401",,"2.4415",,"23.2806",,"0",,"16319",,"509287",,"21876",,"8960",,"0",,"135431",
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","5","0.2225",,"0.0047",,"67.7727",,"1.4239",,"47.5979",,"0",,"3631",,"776607",,"16316",,"11459",,"0",,"179392",
"City of Watertown NY, dba: CitiBus","Watertown","NY","20215","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","92674","Watertown, NY","51832","8","MB","Bus","DO","5","0.9819",,"0.0684",,"114.6534",,"7.9833",,"14.3617",,"0",,"76336",,"1116495",,"77741",,"9738",,"0",,"114886",
"Municipality of Cidra","Cidra","PR","40124","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","79093","San Juan, PR","1844410","8","MB","Bus","DO","5","0",,"0",,"91.7543",,"9.1327",,"10.0468",,"0",,"0",,"144513",,"14384",,"1575",,"0",,"15974",
"City of West Covina","West Covina","CA","90293","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","MB","Bus","PT","4","0.5758",,"0.0159",,"91.3023",,"2.5153",,"36.2992",,"0",,"15415",,"971730",,"26770",,"10643",,"0",,"141973",
"City of West Hollywood","West Hollywood","CA","90294","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","DR","Demand Response","PT","4","0",,"0",,"143.6633",,"1.2137",,"118.3696",,"0",,"0",,"716018",,"6049",,"4984",,"0",,"25658",
"Scotts Bluff Public Transit, dba: Tri City Roadrunner","Gering","NE","70183","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","4","3.4576",,"0.1293",,"82.7273",,"3.0948",,"26.7314",,"0",,"59055",,"456572",,"17080",,"5519",,"0",,"88098",
"Champaign County, dba: Champaign-County Area Rural Transit System","Urbana","IL","50269","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","4","3.1964",,"0.0474",,"73.9001",,"1.0966",,"67.3882",,"0",,"24993",,"526908",,"7819",,"7130",,"0",,"170043",
"Municipality of Vega Baja","Vega Baja","PR","40117","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","79093","San Juan, PR","1844410","8","DR","Demand Response","DO","4","0",,"0",,"80.6501",,"2.1942",,"36.7568",,"0",,"0",,"201464",,"5481",,"2498",,"0",,"34007",
"Scotts Bluff Public Transit, dba: Tri City Roadrunner","Gering","NE","70183","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","4","2.3653",,"0.0572",,"63.7183",,"1.5403",,"41.3671",,"0",,"40714",,"712052",,"17213",,"11175",,"0",,"160323",
"Municipality of Cayey","Cayey","PR","40122","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","79093","San Juan, PR","1844410","8","DR","Demand Response","DO","4","0",,"0",,"60.9433",,"0.6584",,"92.5606",,"0",,"0",,"110795",,"1197",,"1818",,"0",,"23318",
"City of West Hollywood","West Hollywood","CA","90294","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","MB","Bus","PT","4","0",,"0",,"87.824",,"3.7614",,"23.3487",,"0",,"0",,"1322191",,"56628",,"15055",,"0",,"114998",
"Champaign County, dba: Champaign-County Area Rural Transit System","Urbana","IL","50269","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","4","1.1026",,"0.046",,"62.403",,"2.6052",,"23.9534",,"0",,"17847",,"387710",,"16186",,"6213",,"0",,"121419",
"City of West Covina","West Covina","CA","90293","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","8","DR","Demand Response","PT","4","0.3963",,"0.0048",,"135.3754",,"1.6301",,"83.0466",,"0",,"3252",,"681480",,"8206",,"5034",,"0",,"44452",
"Municipality of Vega Baja","Vega Baja","PR","40117","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","79093","San Juan, PR","1844410","8","MB","Bus","DO","4","0",,"0",,"102.8838",,"7.7227",,"13.3222",,"0",,"0",,"512464",,"38467",,"4981",,"0",,"65558",
"Municipality of Cayey","Cayey","PR","40122","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","79093","San Juan, PR","1844410","8","MB","Bus","DO","4","0",,"0",,"45.6851",,"7.9367",,"5.7562",,"0",,"0",,"176710",,"30699",,"3868",,"0",,"25606",
"City of Watertown NY, dba: CitiBus","Watertown","NY","20215","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","92674","Watertown, NY","51832","8","DR","Demand Response","PT","3","2.9204",,"0.07",,"146.8224",,"3.5197",,"41.7141",,"0",,"21360",,"305097",,"7314",,"2078",,"0",,"21674",
"Municipality of Cidra","Cidra","PR","40124","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","79093","San Juan, PR","1844410","8","DR","Demand Response","DO","3","0",,"0",,"64.6092",,"2.5977",,"24.8717",,"0",,"0",,"101178",,"4068",,"1566",,"0",,"38909",
"City of Dodge City, dba: Dodge City Public Transportation","Dodge City","KS","70139","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","3","0.6971",,"0.032",,"45.3353",,"2.084",,"21.754",,"0",,"6036",,"188368",,"8659",,"4155",,"0",,"49983",
"City of Winchester, dba: WinTran","Winchester","VA","30099","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","96103","Winchester, VA","83377","8","DR","Demand Response","DO","3","0",,"0",,"58.7416",,"1.9723",,"29.783",,"0",,"0",,"373538",,"12542",,"6359",,"0",,"54658",
"Rural Resources Community Action","Colville","WA","00286","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","CB","Commuter Bus","DO","3","0.3746",,"0.0064",,"139.5",,"2.3703",,"58.8526",,"0",,"1568",,"246357",,"4186",,"1766",,"0",,"56718",
"Jackson County","Sylva","NC","41167","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","MB","Bus","DO","2","1.0103",,"0.0334",,"64.1216",,"2.1171",,"30.2867",,"0",,"5313",,"159278",,"5259",,"2484",,"0",,"36583",
"Tri-County CAP, Inc./North Country Transit, dba: Tri County Community Action Program, Inc.","Berlin","NH","10172","Private-Non-Profit Corporation","Rural Reporter","2023",,,,"8","MB","Bus","DO","2","1.9808",,"0.153",,"38.6285",,"2.9835",,"12.9475",,"0",,"27184",,"177691",,"13724",,"4600",,"0",,"73681",
"City of Douglas","Douglas","AZ","91052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","2","0",,"0",,"16.693",,"2.81",,"5.9405",,"0",,"0",,"27243",,"4586",,"1632",,"0",,"16932",
"West's Transportation, Inc. , dba: West's Bus Service","Steuben","ME","10177","Private-For-Profit Corporation","Rural Reporter","2023",,,,"8","MB","Bus","DO","2","2.4803",,"0.058",,"74.408",,"1.7401",,"42.7602",,"0",,"6992",,"120541",,"2819",,"1620",,"0",,"36750",
"City of Longview, dba: City of Longview Transit","Longview","TX","60081","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2023","51256","Longview, TX","107099","8","DR","Demand Response","DO","2","2.4894",,"0.0618",,"62.0491",,"1.5413",,"40.2573",,"0",,"8591",,"138928",,"3451",,"2239",,"0",,"28070",
"City of Coolidge, dba: Cotton Express/Central Arizona Regional Transit","Coolidge","AZ","91096","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2023",,,,"8","DR","Demand Response","DO","2","0.5625",,"0.0305",,"65.4612",,"3.5488",,"18.4461",,"0",,"4787",,"156976",,"8510",,"2398",,"0",,"21815",
